tweet_id,retweet_count,favorite_count,geo_data,lang_data
892420643555336193,7010,33829,None,en
892177421306343426,5301,29340,None,en
891815181378084864,3482,22070,None,en
891689557279858688,7228,36953,None,en
891327558926688256,7765,35324,None,en
891087950875897856,2602,17815,None,en
890971913173991426,1666,10370,None,en
890729181411237888,15761,56891,None,en
890609185150312448,3624,24530,None,en
890240255349198849,6101,27973,None,en
890006608113172480,6154,27051,None,en
889880896479866881,4168,24574,None,en
889665388333682689,8354,42073,None,en
889638837579907072,3718,23688,None,en
889531135344209921,1884,13358,None,en
889278841981685760,4447,22130,None,en
888917238123831296,3765,25652,None,en
888804989199671297,3538,22482,None,en
888554962724278272,2879,17323,None,en
888078434458587136,2895,19157,None,en
887705289381826560,4536,26636,None,en
887517139158093824,9856,40744,None,en
887473957103951883,15032,60216,None,en
887343217045368832,8817,29605,None,en
887101392804085760,4993,26994,None,en
886983233522544640,6321,30401,None,en
886736880519319552,2632,10501,None,en
886680336477933568,3737,19743,None,en
886366144734445568,2631,18554,None,en
886267009285017600,4,105,None,en
886258384151887873,5293,24536,None,en
886054160059072513,93,0,None,und
885984800019947520,5617,28625,None,en
885528943205470208,5331,31612,None,en
885518971528720385,3108,18015,None,en
885311592912609280,15443,0,None,en
885167619883638784,3670,19267,None,en
884925521741709313,15032,67315,None,en
884876753390489601,4676,24392,None,en
884562892145688576,3913,21333,None,en
884441805382717440,4793,23874,None,en
884247878851493888,16931,63348,None,en
884162670584377345,2506,17949,None,en
883838122936631299,2865,19180,None,en
883482846933004288,8274,40221,None,en
883360690899218434,3084,19961,None,en
883117836046086144,5538,32527,None,en
882992080364220416,3248,20992,None,en
882762694511734784,4099,24808,None,en
882627270321602560,5064,24613,None,en
882268110199369728,9636,39213,None,en
882045870035918850,4084,25739,None,en
881906580714921986,2855,21454,None,en
881666595344535552,8964,44575,None,en
881633300179243008,8,113,None,en
881536004380872706,13404,43469,None,en
881268444196462592,4494,20494,None,en
880935762899988482,2333,15058,None,en
880872448815771648,3200,18719,None,en
880465832366813184,5216,25038,None,en
880221127280381952,3468,23680,None,en
880095782870896641,3654,24347,None,en
879862464715927552,2930,19716,None,en
879674319642796034,9,282,None,en
879492040517615616,2628,20717,None,en
879415818425184262,37465,92917,None,en
879376492567855104,2651,14868,None,en
879130579576475649,5744,0,None,en
879050749262655488,3958,19816,None,en
879008229531029506,2244,16789,None,en
878776093423087618,3435,17142,None,en
878604707211726852,5930,26449,None,en
878404777348136964,1078,0,None,en
878316110768087041,5531,0,None,en
878281511006478336,1078,6781,None,en
878057613040115712,5744,37159,None,en
877736472329191424,15814,69336,None,en
877611172832227328,70,0,None,en
877556246731214848,3170,19909,None,en
877316821321428993,4348,24166,None,en
877201837425926144,4629,23876,None,en
876838120628539392,2805,18222,None,en
876537666061221889,3975,21053,None,en
876484053909872640,2002,16575,None,en
876120275196170240,3905,24698,None,en
875747767867523072,3584,22124,None,en
875144289856114688,4160,19426,None,en
875097192612077568,5118,24252,None,en
875021211251597312,3974,22559,None,en
874680097055178752,3919,24611,None,en
874434818259525634,12218,0,None,en
874296783580663808,3483,22979,None,en
874057562936811520,3378,20129,None,en
874012996292530176,8597,30131,None,en
873580283840344065,3344,21388,None,en
873337748698140672,1331,0,None,en
873213775632977920,1331,6324,None,en
872967104147763200,4564,24092,None,en
872820683541237760,3168,13082,None,en
872620804844003328,3068,18331,None,en
872486979161796608,7722,36111,None,en
872122724285648897,6833,30247,None,en
871879754684805121,9252,33126,None,en
871762521631449091,2970,17900,None,en
871515927908634625,2942,17897,None,en
871166179821445120,4896,0,None,en
871102520638267392,4685,18557,None,en
871032628920680449,3227,20170,None,en
870804317367881728,5285,29819,None,en
870726314365509632,3,105,None,en
870656317836468226,2210,10899,None,en
870374049280663552,22761,73987,None,en
870308999962521604,3550,19490,None,en
870063196459192321,7078,32439,None,en
869772420881756160,8699,38041,None,en
869702957897576449,5388,25080,None,en
